,,Student,,,,,,Expert,,,,,
,,Ideation,Acquisition,Magnification,Formulation,Release,Total,Ideation,Acquisition,Magnification,Formulation,Release,Total
Internet-only group,Min,0.0000,1.0000,1.0000,0.0000,1.0000,7.0000,0.0000,0.0000,0.0000,1.0000,2.0000,11.0000
,Median,8.0000,2.0000,3.0000,3.0000,3.0000,19.0000,8.0000,2.0000,4.0000,4.0000,3.0000,21.0000
,Max,10.0000,9.0000,6.0000,6.0000,8.0000,33.0000,10.0000,9.0000,5.0000,8.0000,8.0000,34.0000
,Mean,6.7600,3.2400,2.5200,3.1200,3.1200,18.7600,6.6000,3.5200,3.5200,4.0800,3.4000,21.1200
,STD,3.3451,2.5541,1.5578,2.0478,1.5362,6.0366,3.4278,2.9456,1.2288,1.6310,1.4434,6.3135
LLM + internet group,Min,0.0000,1.0000,1.0000,0.0000,1.0000,7.0000,0.0000,0.0000,1.0000,3.0000,2.0000,17.0000
,Median,8.0000,1.0000,4.0000,4.0000,3.0000,21.0000,8.0000,6.0000,5.0000,4.0000,3.0000,25.0000
,Max,10.0000,6.0000,8.0000,7.0000,8.0000,27.0000,10.0000,9.0000,9.0000,9.0000,8.0000,36.0000
,Mean,7.0000,2.1600,3.4800,4.0000,3.3600,20.0000,7.3200,4.7600,4.6400,5.1600,4.0800,25.9600
,STD,3.3040,1.6503,2.2752,2.0616,1.9765,6.2716,2.9961,2.9620,1.8230,1.8184,2.2346,5.3889
,Mean difference,0.2400,-1.0800,0.9600,0.8800,0.2400,1.2400,0.7200,1.2400,1.1200,1.0800,0.6800,4.8400
Statistical analysis results,Cohen's d,0.0722,-0.5023,0.4924,0.4283,0.1356,0.2015,0.2237,0.4198,0.7205,0.6253,0.3615,0.8246
,T-test t-statistic,-0.2552,1.7758,-1.7408,-1.5142,-0.4794,-0.7123,-0.7907,-1.4842,-2.5472,-2.2107,-1.2781,-2.9155
,T-test p-value,0.3998,0.9584,0.0445,0.0683,0.3170,0.2399,0.2165,0.0721,0.0073,0.0160,0.1042,0.0027
,T-test df,47.9927,41.0647,42.4473,47.9978,45.2440,47.9301,47.1557,47.9985,42.0774,47.4427,41.0574,46.8447
,Mann-Whitney u-statistic,297.5000,379.5000,240.0000,228.5000,303.0000,259.5000,266.5000,244.0000,201.5000,228.0000,284.0000,178.0000
,Mann-Whitney p-value,0.3869,0.9200,0.0735,0.0492,0.4275,0.1536,0.1792,0.0902,0.0133,0.0467,0.2822,0.0046
