,,Student,,,,,,Expert,,,,,
,,Ideation,Acquisition,Magnification,Formulation,Release,Total,Ideation,Acquisition,Magnification,Formulation,Release,Total
Internet-only group,Min,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,Median,1.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1.0000,0.0000,0.0000,2.0000,0.0000,3.0000
,Max,4.0000,1.0000,2.0000,6.0000,1.0000,7.0000,5.0000,4.0000,2.0000,4.0000,1.0000,12.0000
,Mean,1.3200,0.2400,0.5200,0.7200,0.1200,2.9200,1.5200,0.4400,0.1200,1.1600,0.3200,3.5600
,STD,1.0693,0.4359,0.8226,1.3699,0.3317,2.1393,1.1944,0.9165,0.4397,1.1431,0.4761,2.6627
LLM + internet group,Min,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,Median,1.0000,0.0000,0.0000,0.0000,0.0000,3.0000,2.0000,0.0000,0.0000,2.0000,0.0000,4.0000
,Max,6.0000,2.0000,4.0000,4.0000,2.0000,8.0000,4.0000,4.0000,4.0000,10.0000,2.0000,15.0000
,Mean,1.9200,0.2000,0.2000,0.7200,0.3600,3.4000,1.6000,0.6800,0.5600,1.6000,0.4000,4.8400
,STD,1.6310,0.5000,0.8165,1.1372,0.6377,2.1794,1.1902,0.9452,1.0440,2.1602,0.6455,3.0779
,Mean difference,0.6000,-0.0400,-0.3200,0.0000,0.2400,0.4800,0.0800,0.2400,0.4400,0.4400,0.0800,1.2800
Statistical analysis results,Cohen's d,0.4351,-0.0853,-0.3905,0.0000,0.4722,0.2223,0.0671,0.2578,0.5493,0.2546,0.1411,0.4448
,T-test t-statistic,-1.5383,0.3015,1.3805,0.0000,-1.6695,-0.7859,-0.2372,-0.9115,-1.9420,-0.9001,-0.4987,-1.5726
,T-test p-value,0.0658,0.6178,0.9131,0.5000,0.0518,0.2179,0.4067,0.1833,0.0305,0.1870,0.3102,0.0613
,T-test df,41.4143,47.1237,47.9973,46.4279,36.0984,47.9834,47.9994,47.9546,32.2541,36.4629,44.1491,47.0263
,Mann-Whitney u-statistic,256.5000,334.5000,386.0000,306.0000,259.5000,275.0000,298.0000,252.0000,248.0000,292.5000,304.5000,224.0000
,Mann-Whitney p-value,0.1322,0.7352,0.9802,0.4435,0.0716,0.2340,0.3891,0.0879,0.0317,0.3378,0.4291,0.0422
