id,stage,accuracy,completeness,innovation,difficulty,n_user_messages,n_internet_resources,time_to_complete_sec
0,ideation,7,2,1,6,0,23,2075
1,ideation,8,4,1,4,0,11,727
2,ideation,8,6,0,7,19,10,4474
3,ideation,0,4,0,2,0,12,771
4,ideation,8,4,3,6,37,6,3371
5,ideation,10,4,2,4,0,0,1601
6,ideation,2,4,4,3,9,9,1487
7,ideation,0,3,0,3,0,6,470
8,ideation,0,6,3,2,19,2,1764
9,ideation,10,3,1,5,0,10,1637
10,ideation,8,4,1,4,14,8,2760
11,ideation,9,3,2,9,0,13,1968
12,ideation,2,3,1,4,0,16,2632
13,ideation,8,8,4,4,0,11,2465
14,ideation,7,3,1,5,0,46,1609
15,ideation,6,6,1,8,0,21,1695
16,ideation,10,9,3,10,0,0,4083
17,ideation,9,4,2,6,0,23,2279
18,ideation,9,3,1,4,0,14,1401
19,ideation,10,3,1,7,13,4,4010
20,ideation,8,10,4,4,0,16,4601
21,ideation,8,3,2,3,0,24,2412
22,ideation,0,7,0,2,0,9,891
23,ideation,9,4,1,8,16,10,4608
24,ideation,0,3,0,8,0,33,857
25,ideation,8,4,2,3,0,34,1989
26,ideation,2,5,4,3,9,6,2440
27,ideation,8,4,1,3,0,25,1326
28,ideation,8,5,2,2,0,6,1153
29,ideation,8,5,2,1,0,15,1523
30,ideation,9,3,1,9,19,4,5032
31,ideation,10,4,0,8,11,25,3516
32,ideation,9,3,1,7,5,0,1633
33,ideation,7,4,3,3,0,3,1270
34,ideation,8,7,5,2,15,12,2442
35,ideation,8,4,1,6,0,43,1819
36,ideation,8,7,0,,5,0,991
37,ideation,9,6,1,2,18,2,1580
38,ideation,0,4,0,4,0,30,3486
39,ideation,8,7,1,2,0,23,2846
40,ideation,2,4,2,3,17,31,2920
41,ideation,10,6,1,3,32,9,2309
42,ideation,10,3,1,4,5,0,3081
43,ideation,7,2,1,3,15,0,1544
44,ideation,9,5,4,5,3,4,2560
45,ideation,9,7,6,8,11,0,2286
46,ideation,10,4,1,3,0,8,2337
47,ideation,10,4,2,8,0,14,1431
48,ideation,8,5,3,4,0,6,1473
49,ideation,8,6,4,4,7,23,2502
50,ideation,0,4,0,3,0,9,1423
51,ideation,5,6,2,7,0,38,1733
52,ideation,8,5,1,2,0,11,2202
53,ideation,7,5,1,8,0,6,1912
54,ideation,10,8,2,5,0,15,3490
55,ideation,2,6,2,4,13,1,1745
56,ideation,4,7,1,6,0,24,2553
57,ideation,6,3,0,6,0,22,2361
58,ideation,8,5,1,1,9,7,1854
59,ideation,2,2,1,1,0,6,2558
60,ideation,7,4,2,5,17,7,3358
61,ideation,8,4,2,2,0,6,820
62,ideation,8,5,3,1,8,8,1738
63,ideation,8,6,2,8,0,24,4030
64,ideation,8,2,1,3,0,18,1195
65,ideation,9,8,2,6,6,0,948
66,ideation,8,4,1,5,4,43,1449
67,ideation,8,6,2,9,0,0,3198
68,ideation,2,7,1,4,0,33,3003
69,ideation,8,6,2,5,0,11,1423
70,ideation,9,5,2,10,0,5,1277
71,ideation,8,5,0,4,0,23,2078
72,ideation,10,3,0,5,0,3,867
73,ideation,7,4,2,10,32,25,4074
74,ideation,7,3,0,6,0,29,2075
75,ideation,10,3,0,6,4,8,1361
76,ideation,10,6,0,3,11,8,2198
77,ideation,0,4,0,2,0,19,2136
78,ideation,8,5,2,4,8,23,3245
79,ideation,10,1,0,1,0,2,631
80,ideation,10,3,2,1,0,19,1901
81,ideation,7,3,1,4,14,8,1237
82,ideation,8,4,1,9,0,5,1511
83,ideation,9,6,2,4,7,18,3641
84,ideation,7,1,3,5,0,0,186
85,ideation,0,3,1,5,0,19,1973
86,ideation,10,2,2,1,6,0,906
87,ideation,8,5,1,1,0,4,1408
88,ideation,10,7,2,3,0,18,1956
89,ideation,9,5,1,8,1,13,4269
90,ideation,8,8,2,8,0,30,4071
91,ideation,8,3,3,2,5,3,1832
92,ideation,10,9,5,5,0,22,2501
93,ideation,8,7,0,2,14,12,3981
94,ideation,0,8,3,7,4,1,1725
95,ideation,0,4,0,6,0,14,977
96,ideation,8,4,2,5,0,29,1183
97,ideation,0,5,0,6,15,21,2180
98,ideation,10,7,3,8,0,31,3025
99,ideation,8,7,2,2,18,27,2837
0,acquisition,8,6,0,4,0,22,3175
1,acquisition,1,3,0,5,0,35,1016
2,acquisition,1,3,1,6,1,9,839
3,acquisition,1,1,0,6,6,12,1728
4,acquisition,1,4,0,4,12,6,3734
5,acquisition,3,5,1,10,0,3,3394
6,acquisition,4,5,1,8,10,31,3072
7,acquisition,2,2,0,2,0,12,1786
8,acquisition,4,2,0,4,0,1,969
9,acquisition,9,4,1,10,0,12,3920
10,acquisition,6,7,0,8,12,10,3246
11,acquisition,1,4,1,8,0,23,1873
12,acquisition,6,3,0,10,0,19,4004
13,acquisition,4,4,0,9,0,11,5205
14,acquisition,1,3,0,8,0,51,4632
15,acquisition,1,1,0,8,0,35,2645
16,acquisition,6,7,0,10,0,11,4224
17,acquisition,6,3,1,7,0,43,4237
18,acquisition,7,3,1,4,0,26,2682
19,acquisition,1,2,0,9,8,2,2137
20,acquisition,8,5,0,6,2,27,3555
21,acquisition,6,1,0,10,0,54,7078
22,acquisition,9,8,1,3,0,4,2479
23,acquisition,2,5,0,9,3,0,1505
24,acquisition,1,3,0,3,0,29,3416
25,acquisition,2,5,0,8,0,70,6726
26,acquisition,1,7,0,4,14,2,3951
27,acquisition,1,1,0,7,0,19,2568
28,acquisition,4,6,0,8,5,5,3566
29,acquisition,6,7,0,7,0,26,4891
30,acquisition,1,3,0,3,9,1,1599
31,acquisition,2,3,1,6,9,14,3824
32,acquisition,3,3,0,8,17,18,3065
33,acquisition,5,5,0,8,0,14,1055
34,acquisition,1,5,0,6,12,6,1468
35,acquisition,1,2,0,4,0,19,1757
36,acquisition,6,6,2,,16,2,2879
37,acquisition,5,9,1,7,14,2,1639
38,acquisition,2,8,0,10,0,30,4583
39,acquisition,8,7,0,10,0,21,2840
40,acquisition,1,2,0,5,9,15,3075
41,acquisition,6,7,2,8,30,0,2937
42,acquisition,8,4,1,8,3,0,1054
43,acquisition,2,5,0,9,26,9,2921
44,acquisition,6,3,0,7,6,5,2759
45,acquisition,1,3,1,8,27,1,5449
46,acquisition,1,2,0,7,0,13,2828
47,acquisition,1,2,0,4,0,18,1377
48,acquisition,1,3,0,9,0,2,2089
49,acquisition,1,4,0,9,15,29,4042
50,acquisition,1,3,0,10,0,14,2075
51,acquisition,1,4,1,4,0,32,2028
52,acquisition,1,2,0,7,0,12,1981
53,acquisition,3,5,0,3,0,39,2408
54,acquisition,8,5,0,10,0,22,3605
55,acquisition,6,7,4,3,6,69,3489
56,acquisition,7,7,0,7,0,34,2521
57,acquisition,6,4,0,8,0,14,7033
58,acquisition,1,5,0,3,28,3,5806
59,acquisition,1,0,4,6,0,6,4204
60,acquisition,1,6,0,7,11,2,1814
61,acquisition,1,3,0,8,0,18,6900
62,acquisition,0,5,0,10,9,6,3481
63,acquisition,2,1,0,10,0,19,1787
64,acquisition,6,6,2,4,0,23,2862
65,acquisition,3,8,0,4,6,2,924
66,acquisition,1,4,0,6,6,28,3765
67,acquisition,6,5,1,5,0,2,1618
68,acquisition,1,4,0,6,0,57,4335
69,acquisition,5,6,1,3,0,40,5826
70,acquisition,2,10,0,5,0,5,1579
71,acquisition,6,2,0,7,0,26,3699
72,acquisition,2,2,0,9,0,2,1446
73,acquisition,6,6,0,9,6,19,1715
74,acquisition,2,3,0,3,,,
75,acquisition,1,5,0,9,5,11,3792
76,acquisition,8,10,2,10,12,23,3581
77,acquisition,1,8,1,7,0,16,2579
78,acquisition,2,1,0,8,20,23,3342
79,acquisition,6,5,0,8,0,3,2664
80,acquisition,1,2,0,9,0,36,3607
81,acquisition,1,0,0,3,7,7,1590
82,acquisition,4,5,0,9,0,8,2239
83,acquisition,1,2,0,9,8,22,3553
84,acquisition,2,2,1,10,0,3,730
85,acquisition,3,8,1,4,0,31,2664
86,acquisition,6,6,0,1,3,0,767
87,acquisition,9,8,0,4,0,34,3344
88,acquisition,1,6,0,8,0,29,3650
89,acquisition,2,6,1,8,2,8,3971
90,acquisition,3,6,0,10,0,50,2811
91,acquisition,1,7,0,3,4,18,2650
92,acquisition,8,5,1,6,0,16,2169
93,acquisition,5,7,1,5,9,25,3570
94,acquisition,9,7,1,3,4,33,4809
95,acquisition,0,2,0,10,0,24,3897
96,acquisition,9,4,1,7,0,33,3372
97,acquisition,3,5,0,8,17,31,2699
98,acquisition,1,4,0,6,0,38,2188
99,acquisition,1,6,0,6,5,7,2187
0,magnification,4,3,0,6,0,17,2158
1,magnification,3,1,0,5,0,28,2348
2,magnification,1,0,0,3,5,11,1167
3,magnification,5,2,0,4,0,14,1901
4,magnification,5,0,0,1,0,0,1697
5,magnification,1,0,0,3,0,2,1357
6,magnification,5,2,0,7,11,14,3025
7,magnification,1,0,0,1,0,0,290
8,magnification,1,0,0,1,0,0,193
9,magnification,3,3,1,4,0,21,1912
10,magnification,4,2,0,7,8,10,1935
11,magnification,3,5,0,4,0,26,4176
12,magnification,1,2,0,7,0,19,3677
13,magnification,1,0,0,7,0,10,2583
14,magnification,5,4,0,3,0,30,2847
15,magnification,4,5,2,7,0,32,4493
16,magnification,3,3,1,7,0,7,3515
17,magnification,3,0,0,8,0,25,2698
